route_id,simple_path_rows_v2,all_path_depth_ge_1,all_edge_id_path_nonempty,all_simple_path_valid,repaired_repeated_node_path_count,repaired_repeated_smiles_path_count,repaired_repeated_edge_path_count,all_contains_parent_copy_edge_false,all_contains_source_self_loop_edge_false
biotransformer_envmicro_multistep,779,True,True,True,0,0,0,True,True
envipath_bbd_rules_multistep,745,True,True,True,0,0,0,True,True
eclipse_predec_bbd_finetuned_10fold_multistep,930,True,True,True,0,0,0,True,True
eclipse_noec_bbd_finetuned_10fold_multistep_optional,930,True,True,True,0,0,0,True,True
