route_id,simple_path_rows_v2,unique_case_smiles_path_count,duplicate_case_smiles_path_rows,max_paths_per_case,cases_exceeding_top10
biotransformer_envmicro_multistep,779,779,0,10,0
envipath_bbd_rules_multistep,745,745,0,10,0
eclipse_predec_bbd_finetuned_10fold_multistep,930,930,0,10,0
eclipse_noec_bbd_finetuned_10fold_multistep_optional,930,930,0,10,0
