timestamp_utc,uid,url_kind,accession,url,http_status,retry_count,final_outcome
2026-08-16T03:14:57.623170+00:00,A0A2L0V130,afdb_v6_probe,A0A2L0V130,https://alphafold.ebi.ac.uk/files/AF-A0A2L0V130-F1-model_v6.pdb,404,0,not_found
2026-08-16T03:14:58.689414+00:00,A0A2L0V161,uniprot_direct,A0A2L0V161,https://rest.uniprot.org/uniprotkb/A0A2L0V161.json,200,0,success
2026-08-16T03:15:00.384365+00:00,A0A2L0V161,afdb_v6_probe,A0A2L0V161,https://alphafold.ebi.ac.uk/files/AF-A0A2L0V161-F1-model_v6.pdb,404,0,not_found
2026-08-16T03:15:01.403418+00:00,A0A345MJY6,uniprot_direct,A0A345MJY6,https://rest.uniprot.org/uniprotkb/A0A345MJY6.json,200,0,success
2026-08-16T03:15:02.381905+00:00,A0A345MJY6,afdb_v6_probe,A0A345MJY6,https://alphafold.ebi.ac.uk/files/AF-A0A345MJY6-F1-model_v6.pdb,404,0,not_found
2026-08-16T03:15:03.355857+00:00,A0A516KNH9,uniprot_direct,A0A516KNH9,https://rest.uniprot.org/uniprotkb/A0A516KNH9.json,200,0,success
2026-08-16T03:15:04.373995+00:00,A0A516KNH9,afdb_v6_probe,A0A516KNH9,https://alphafold.ebi.ac.uk/files/AF-A0A516KNH9-F1-model_v6.pdb,404,0,not_found
2026-08-16T03:15:07.204097+00:00,A0A7H0DN19,uniprot_direct,A0A7H0DN19,https://rest.uniprot.org/uniprotkb/A0A7H0DN19.json,200,0,success
2026-08-16T03:15:08.274358+00:00,A0A7H0DN19,afdb_v6_probe,A0A7H0DN19,https://alphafold.ebi.ac.uk/files/AF-A0A7H0DN19-F1-model_v6.pdb,404,0,not_found
2026-08-16T03:15:09.495765+00:00,A0A7H0DN21,uniprot_direct,A0A7H0DN21,https://rest.uniprot.org/uniprotkb/A0A7H0DN21.json,200,0,success
2026-08-16T03:15:10.506580+00:00,A0A7H0DN21,afdb_v6_probe,A0A7H0DN21,https://alphafold.ebi.ac.uk/files/AF-A0A7H0DN21-F1-model_v6.pdb,404,0,not_found
2026-08-16T03:15:11.525604+00:00,A0A7H0DN27,uniprot_direct,A0A7H0DN27,https://rest.uniprot.org/uniprotkb/A0A7H0DN27.json,200,0,success
2026-08-16T03:15:12.550777+00:00,A0A7H0DN27,afdb_v6_probe,A0A7H0DN27,https://alphafold.ebi.ac.uk/files/AF-A0A7H0DN27-F1-model_v6.pdb,404,0,not_found
2026-08-16T03:15:13.585224+00:00,A0A7H0DN30,uniprot_direct,A0A7H0DN30,https://rest.uniprot.org/uniprotkb/A0A7H0DN30.json,200,0,success
2026-08-16T03:15:14.573925+00:00,A0A7H0DN30,afdb_v6_probe,A0A7H0DN30,https://alphafold.ebi.ac.uk/files/AF-A0A7H0DN30-F1-model_v6.pdb,404,0,not_found
2026-08-16T03:15:15.608912+00:00,A0A7H0DN45,uniprot_direct,A0A7H0DN45,https://rest.uniprot.org/uniprotkb/A0A7H0DN45.json,200,0,success
2026-08-16T03:15:16.664189+00:00,A0A7H0DN45,afdb_v6_probe,A0A7H0DN45,https://alphafold.ebi.ac.uk/files/AF-A0A7H0DN45-F1-model_v6.pdb,404,0,not_found
2026-08-16T03:15:17.662794+00:00,A0A7H0DN52,uniprot_direct,A0A7H0DN52,https://rest.uniprot.org/uniprotkb/A0A7H0DN52.json,200,0,success
2026-08-16T03:15:18.723048+00:00,A0A7H0DN52,afdb_v6_probe,A0A7H0DN52,https://alphafold.ebi.ac.uk/files/AF-A0A7H0DN52-F1-model_v6.pdb,404,0,not_found
2026-08-16T03:15:19.797466+00:00,A0A7H0DN56,uniprot_direct,A0A7H0DN56,https://rest.uniprot.org/uniprotkb/A0A7H0DN56.json,200,0,success
2026-08-16T03:15:20.754004+00:00,A0A7H0DN56,afdb_v6_probe,A0A7H0DN56,https://alphafold.ebi.ac.uk/files/AF-A0A7H0DN56-F1-model_v6.pdb,404,0,not_found
2026-08-16T03:15:21.813756+00:00,A0A7H0DN73,uniprot_direct,A0A7H0DN73,https://rest.uniprot.org/uniprotkb/A0A7H0DN73.json,200,0,success
2026-08-16T03:15:22.812932+00:00,A0A7H0DN73,afdb_v6_probe,A0A7H0DN73,https://alphafold.ebi.ac.uk/files/AF-A0A7H0DN73-F1-model_v6.pdb,404,0,not_found
2026-08-16T03:15:23.763089+00:00,A0A7H0DN74,uniprot_direct,A0A7H0DN74,https://rest.uniprot.org/uniprotkb/A0A7H0DN74.json,200,0,success
2026-08-16T03:15:25.738079+00:00,A0A7H0DN74,afdb_v6_probe,A0A7H0DN74,https://alphafold.ebi.ac.uk/files/AF-A0A7H0DN74-F1-model_v6.pdb,404,0,not_found
2026-08-16T03:15:26.778195+00:00,A0A7H0DN78,uniprot_direct,A0A7H0DN78,https://rest.uniprot.org/uniprotkb/A0A7H0DN78.json,200,0,success
2026-08-16T03:15:27.828746+00:00,A0A7H0DN78,afdb_v6_probe,A0A7H0DN78,https://alphafold.ebi.ac.uk/files/AF-A0A7H0DN78-F1-model_v6.pdb,404,0,not_found
2026-08-16T03:15:28.902517+00:00,A0A7H0DN85,uniprot_direct,A0A7H0DN85,https://rest.uniprot.org/uniprotkb/A0A7H0DN85.json,200,0,success
2026-08-16T03:15:29.903269+00:00,A0A7H0DN85,afdb_v6_probe,A0A7H0DN85,https://alphafold.ebi.ac.uk/files/AF-A0A7H0DN85-F1-model_v6.pdb,404,0,not_found
2026-08-16T03:15:30.988318+00:00,A0A7H0DN93,uniprot_direct,A0A7H0DN93,https://rest.uniprot.org/uniprotkb/A0A7H0DN93.json,200,0,success
2026-08-16T03:15:32.002125+00:00,A0A7H0DN93,afdb_v6_probe,A0A7H0DN93,https://alphafold.ebi.ac.uk/files/AF-A0A7H0DN93-F1-model_v6.pdb,404,0,not_found
2026-08-16T03:15:33.052118+00:00,A0A7H0DN95,uniprot_direct,A0A7H0DN95,https://rest.uniprot.org/uniprotkb/A0A7H0DN95.json,200,0,success
