UniprotID,manifest_order_index,base_completed,assigned_shard,assigned_gpu,assignment_reason
Q8K9X8,4178,false,0,0,remaining_order_4108_mod_4
Q8KAZ0,4179,false,1,1,remaining_order_4109_mod_4
Q8KBX0,4180,false,2,2,remaining_order_4110_mod_4
Q8KRR5,4181,false,3,3,remaining_order_4111_mod_4
Q8MBG5,4182,false,0,0,remaining_order_4112_mod_4
Q8MBK3,4183,false,1,1,remaining_order_4113_mod_4
Q8MBQ4,4184,false,2,2,remaining_order_4114_mod_4
Q8MIU0,4185,false,3,3,remaining_order_4115_mod_4
Q8MJ14,4186,false,0,0,remaining_order_4116_mod_4
Q8MXS1,4187,false,1,1,remaining_order_4117_mod_4
Q8N490,4188,false,2,2,remaining_order_4118_mod_4
Q8N4Z0,4189,false,3,3,remaining_order_4119_mod_4
Q8N841,4190,false,0,0,remaining_order_4120_mod_4
Q8N8W4,4191,false,1,1,remaining_order_4121_mod_4
Q8NBM8,4192,false,2,2,remaining_order_4122_mod_4
Q8NBQ5,4193,false,3,3,remaining_order_4123_mod_4
Q8NFV4,4194,false,0,0,remaining_order_4124_mod_4
Q8NHH1,4195,false,1,1,remaining_order_4125_mod_4
Q8NHY0,4196,false,2,2,remaining_order_4126_mod_4
Q8NQA1,4197,false,3,3,remaining_order_4127_mod_4
Q8NQU4,4198,false,0,0,remaining_order_4128_mod_4
Q8NX62,4199,false,1,1,remaining_order_4129_mod_4
Q8NXG7,4200,false,2,2,remaining_order_4130_mod_4
Q8NZL9,4201,false,3,3,remaining_order_4131_mod_4
Q8PC73,4202,false,0,0,remaining_order_4132_mod_4
Q8PU50,4203,false,1,1,remaining_order_4133_mod_4
Q8PXA0,4204,false,2,2,remaining_order_4134_mod_4
Q8PZ49,4205,false,3,3,remaining_order_4135_mod_4
Q8PZH6,4206,false,0,0,remaining_order_4136_mod_4
Q8QMP8,4207,false,1,1,remaining_order_4137_mod_4
Q8QMQ7,4208,false,2,2,remaining_order_4138_mod_4
Q8QMV9,4209,false,3,3,remaining_order_4139_mod_4
Q8QQ21,4210,false,0,0,remaining_order_4140_mod_4
Q8R0F8,4211,false,1,1,remaining_order_4141_mod_4
Q8R146,4212,false,2,2,remaining_order_4142_mod_4
Q8R8W3,4213,false,3,3,remaining_order_4143_mod_4
Q8RC41,4214,false,0,0,remaining_order_4144_mod_4
Q8RDK1,4215,false,1,1,remaining_order_4145_mod_4
Q8RP98,4216,false,2,2,remaining_order_4146_mod_4
Q8RPY7,4217,false,3,3,remaining_order_4147_mod_4
Q8RQD2,4218,false,0,0,remaining_order_4148_mod_4
Q8SDC3,4219,false,1,1,remaining_order_4149_mod_4
Q8TFG7,4220,false,2,2,remaining_order_4150_mod_4
Q8TJZ5,4221,false,3,3,remaining_order_4151_mod_4
Q8TN68,4222,false,0,0,remaining_order_4152_mod_4
Q8TQQ6,4223,false,1,1,remaining_order_4153_mod_4
Q8TS72,4224,false,2,2,remaining_order_4154_mod_4
Q8TS73,4225,false,3,3,remaining_order_4155_mod_4
Q8TTA5,4226,false,0,0,remaining_order_4156_mod_4
Q8TTA9,4227,false,1,1,remaining_order_4157_mod_4
Q8TU02,4228,false,2,2,remaining_order_4158_mod_4
Q8TU04,4229,false,3,3,remaining_order_4159_mod_4
Q8TU05,4230,false,0,0,remaining_order_4160_mod_4
Q8TUV8,4231,false,1,1,remaining_order_4161_mod_4
Q8TVA7,4232,false,2,2,remaining_order_4162_mod_4
Q8TVE9,4233,false,3,3,remaining_order_4163_mod_4
Q8TVM0,4234,false,0,0,remaining_order_4164_mod_4
Q8U0B9,4235,false,1,1,remaining_order_4165_mod_4
Q8U4J0,4236,false,2,2,remaining_order_4166_mod_4
Q8UC22,4237,false,3,3,remaining_order_4167_mod_4
Q8UCS6,4238,false,0,0,remaining_order_4168_mod_4
Q8UCS8,4239,false,1,1,remaining_order_4169_mod_4
Q8UFS9,4240,false,2,2,remaining_order_4170_mod_4
Q8UVX8,4241,false,3,3,remaining_order_4171_mod_4
Q8V2K9,4242,false,0,0,remaining_order_4172_mod_4
Q8V2R8,4243,false,1,1,remaining_order_4173_mod_4
Q8V2Y0,4244,false,2,2,remaining_order_4174_mod_4
Q8V3U0,4245,false,3,3,remaining_order_4175_mod_4
Q8V437,4246,false,0,0,remaining_order_4176_mod_4
Q8V4S4,4247,false,1,1,remaining_order_4177_mod_4
Q8V9T7,4248,false,2,2,remaining_order_4178_mod_4
Q8V9U2,4249,false,3,3,remaining_order_4179_mod_4
Q8VCI0,4250,false,0,0,remaining_order_4180_mod_4
Q8VEJ1,4251,false,1,1,remaining_order_4181_mod_4
Q8VHP8,4252,false,2,2,remaining_order_4182_mod_4
Q8VHQ4,4253,false,3,3,remaining_order_4183_mod_4
Q8VID5,4254,false,0,0,remaining_order_4184_mod_4
Q8W3Z3,4255,false,1,1,remaining_order_4185_mod_4
Q8WMS6,4256,false,2,2,remaining_order_4186_mod_4
Q8WXH6,4257,false,3,3,remaining_order_4187_mod_4
Q8WZ82,4258,false,0,0,remaining_order_4188_mod_4
Q8X643,4259,false,1,1,remaining_order_4189_mod_4
Q8X6R3,4260,false,2,2,remaining_order_4190_mod_4
Q8XAG0,4261,false,3,3,remaining_order_4191_mod_4
Q8XAG2,4262,false,0,0,remaining_order_4192_mod_4
Q8XAZ4,4263,false,1,1,remaining_order_4193_mod_4
Q8XE07,4264,false,2,2,remaining_order_4194_mod_4
Q8XXR1,4265,false,3,3,remaining_order_4195_mod_4
Q8XXT0,4266,false,0,0,remaining_order_4196_mod_4
Q8Y3C2,4267,false,1,1,remaining_order_4197_mod_4
Q8Y565,4268,false,2,2,remaining_order_4198_mod_4
Q8YD09,4269,false,3,3,remaining_order_4199_mod_4
Q8YDY9,4270,false,0,0,remaining_order_4200_mod_4
Q8YDZ4,4271,false,1,1,remaining_order_4201_mod_4
Q8YF71,4272,false,2,2,remaining_order_4202_mod_4
Q8YHZ6,4273,false,3,3,remaining_order_4203_mod_4
