smoke_record_id,rhea_id,reaction_sha256,canonical_reaction_smiles,local_source_path,source_line,sha256_recomputed_match,status
S1,11532,19fe5b26e16a1a8ca60628be8718d3162cabded0299e2276a8503aec787bcf15,NCC(=O)O.O.O=O>>N.O=CC(=O)O.OO,03_HPC_Returned_Result_Summaries/m3_p0_preimplementation_evidence_collection_20260717/outputs/p0_reaction_difficulty_inventory.csv,358,TRUE,RECOVERED_EXACT
S2,46976,9737dd8c994296811f87278e33cc7c8b1743112ddf9ecb745ba6de1e1dc2971a,CN1CCC[C@H]1c1ccc(O)nc1.O=O>>CN1CCC=C1c1ccc(O)nc1.OO,03_HPC_Returned_Result_Summaries/m3_p0a_local_rhea_source_metric_correction_20260717/outputs/p0_reaction_difficulty_inventory.csv,193,TRUE,RECOVERED_EXACT
